"30871","Săcădat",45980000
"30988","Sălacea",64230000
"31011","Sălard",71460000
"31057","Sâmbăta",29950000
"26582","Sânmartin",61750000
"32179","Sannicolau Roman",75090000
"26653","Sântandrei",28010000
"31128","Sârbi",62670000
"31333","Șimian",91740000
"31379","Șinteu",49330000
"31422","Șoimi",102010000
"31208","Spinuș",30260000
"31510","Șuncuiuș",72040000
"31262","Suplacu de Barcău",44470000
"32153","Tămășeu",45890000
"31609","Tărcaia",76700000
"31565","Tarcea",64400000
"31654","Tăuteu",69760000
"31878","Țețchea",51140000
"31716","Tileagd",64960000
"31789","Tinca",141990000
"32201","Toboliu",42330000
"31841","Tulca",58620000
"31921","Uileacu de Beiuș",43820000
"31976","Vadu Crișului",74700000
"32090","Vârciorog",80810000
"32045","Viișoara",43070000
"32394","Municipiul Bistrița",145470000
"32483","Oraș Beclean",59570000
"32544","Oraș Năsăud",43250000
"32599","Oraș Sângeorz-Băi",146820000
"32633","Bistrița Bârgăului",186400000
"32660","Braniștea",41640000
"32704","Budacu de Jos",60580000
"32768","Budești",53150000
"32811","Căianu Mic",74060000
"32884","Cetate",66630000
"33015","Chiochis",91130000
"33122","Chiuza",44210000
"179953","Ciceu - Mihaiești",34980000
"32955","Ciceu-Giurgești",53010000
"33177","Coșbuc",91960000
"33202","Dumitra",88990000
"179686","Dumitrița",102960000
"33248","Feldru",119750000
"33275","Galații Bistriței",71260000
"33337","Ilva Mare",83280000
"33364","Ilva Mică",52500000
"33382","Josenii Bârgăului",55580000
"33435","Lechința",133260000
"33514","Leșu",90100000
"33541","Livezile",109410000
"33603","Lunca Ilvei",91210000
"33729","Măgura Ilvei",27700000
"33621","Maieru",129040000
"33765","Mărișelu",77540000
"33658","Matei",86020000
"33845","Miceștii de Câmpie",42730000
"33881","Milaș",49370000
"33952","Monor",52980000
"179659","Negrilești",60660000
"33989","Nimigea",98360000
"34075","Nușeni",92040000
"34155","Parva",70650000
"34173","Petru Rareș",30080000
"179720","Poiana  Ilvei",19840000
"34235","Prundu Bârgăului",47500000
"34262","Rebra",45810000
"34280","Rebrișoara",136870000
"34333","Rodna",224150000
"34360","Romuli",102290000
"179944","Runcu Salvei",25610000
"34397","Salva",29350000
"34477","Sânmihaiu de Câmpie",64250000
"34618","Șanț",209040000
"34645","Șieu",71980000
"34690","Șieu-Măgheruș",59890000
