Judet;Localitate;Siruta;Total numar animale localitate;;;;Cate curti au un nr de bovine dintr-un interval;;;;Cate curti au un nr de ovine dintr-un interval;;;;Cate curti au un nr de caprine dintr-un interval;;;;Cate curti au un nr de porci dintr-un interval;;;
;;;bovine;ovine;caprine;porci;Intre 1 si 2;Intre 3 si 4;Intre 5 si 9;Peste 9;Intre 1 si 5;Intre 6 si 14;Intre 15 si 49;Peste 49;Intre 1 si 2;Intre 3 si 9;Intre 10 si 19;Peste 19;Intre 1 si 2;Intre 3 si 4;Intre 5 si 14;Peste 14
Alba;Ciuculesti;3510;42;0;0;0;2;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Ciugud;1080;28;1018;30;230;4;0;3;0;0;1;0;2;0;0;0;1;30;1;2;4
Alba;Ciugudu de Jos;8176;89;3219;875;201;10;5;2;3;7;5;0;4;0;0;0;1;20;3;7;2
Alba;Ciugudu de Sus;8185;30;694;500;10;7;1;1;1;14;3;0;2;0;0;0;3;6;0;0;0
Alba;Ciuguzel;5274;59;1081;0;208;17;8;1;0;12;16;4;4;0;0;0;0;39;8;3;4
Alba;Ciuldesti;3100;149;0;0;47;9;12;11;2;0;0;0;0;0;0;0;0;0;1;0;2
Alba;Ciumbrud;1277;111;1390;0;63;2;1;2;2;1;1;0;7;0;0;0;0;5;3;3;1
Alba;Ciuruleasa;4017;1735;405;36;211;59;56;92;54;10;4;2;3;3;1;0;1;4;1;7;5
Alba;Coasta Vascului;1516;100;0;0;13;3;8;11;0;0;0;0;0;0;0;0;0;5;1;0;0
Alba;Cobles;2434;154;0;23;76;8;26;9;0;0;0;0;0;0;1;1;0;6;5;7;0
Alba;Cocesti;2684;17;0;0;0;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Cocosesti;2693;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alba;Cojocani;5915;66;0;0;20;4;1;3;2;0;0;0;0;0;0;0;0;5;4;0;0
Alba;Coleseni;3529;35;0;0;23;5;3;1;1;0;0;0;0;0;0;0;0;0;0;3;0
Alba;Colibi;6182;12;528;0;21;5;1;0;0;0;0;1;4;0;0;0;0;1;0;3;0
Alba;Coltesti;6618;246;828;495;219;8;16;24;2;0;0;0;3;0;3;2;2;26;21;13;1
Alba;Copand;6075;60;865;2;165;9;1;0;2;7;2;0;4;1;0;0;0;18;8;6;2
Alba;Cornu;4213;23;407;7;30;1;1;1;1;0;0;1;2;0;1;0;0;2;1;1;1
Alba;Coroiesti;2700;24;0;0;1;7;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0
