JUDETUL ALBA,ARIESENI,LAZEA ROVIN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,2390
JUDETUL ALBA,AVRAM IANCU,CHIRA A. TRAIAN,FEDERATIA ECOLOGISTA DIN ROMANIA,2000,2586
JUDETUL ALBA,BERGHIN,BICA VASILE,CONVENTIA DEMOCRATA ROMANA,2000,2997
JUDETUL ALBA,BISTRA,BIRLA G. IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,3048
JUDETUL ALBA,BLANDIANA,GHERMAN NICOLAE,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,3404
JUDETUL ALBA,BUCIUM,AMARIEI DAVID SORINEL,PARTIDUL DEMOCRAT,2000,3468
JUDETUL ALBA,CENADE,PARASCHIV FLORIN,CONVENTIA DEMOCRATA ROMANA,2000,3770
JUDETUL ALBA,CERGAU,AVRAM GHEORGHE,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,3805
JUDETUL ALBA,CERU-BACAINTI,GIURGIU AUREL,PARTIDUL NATIONAL LIBERAL,2000,3850
JUDETUL ALBA,CETATEA DE BALTA,PARAU NICOLAE,CANDIDAT INDEPENDENT,2000,3967
JUDETUL ALBA,CALNIC,RECHE IOAN,PARTIDUL DEMOCRAT,2000,4115
JUDETUL ALBA,CIUGUD,DAMIAN GHEORGHE,CONVENTIA DEMOCRATA ROMANA,2000,1080
JUDETUL ALBA,CIURULEASA,MIHALACHI V. IOAN,PARTIDUL NATIONAL LIBERAL,2000,4017
JUDETUL ALBA,CRACIUNELU DE JOS,BUBUR LENUTA,ALIANTA PENTRU ROMANIA,2000,4197
JUDETUL ALBA,CRICAU,MUNTEAN NICOLAE,PARTIDUL NATIONAL LIBERAL,2000,4151
JUDETUL ALBA,DAIA ROMANA,DAMIAN DORU,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,4259
JUDETUL ALBA,DOSTAT,CRISTIAN VASILE,ALIANTA PENTRU ROMANIA,2000,4277
JUDETUL ALBA,FARAU,BARABAS GLIGOR,ALIANTA PENTRU ROMANIA,2000,4311
JUDETUL ALBA,GALDA DE JOS,RAICA ROMULUS,CONVENTIA DEMOCRATA ROMANA,2000,4375
JUDETUL ALBA,GARBOVA,FULEA IOAN,CONVENTIA DEMOCRATA ROMANA,2000,4491
JUDETUL ALBA,GARDA DE SUS,VIRCIU MARIN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,4534
JUDETUL ALBA,HOPARTA,POPA AUGUSTIN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,4712
JUDETUL ALBA,HOREA,OLAR CORNELIU,CANDIDAT INDEPENDENT,2000,4776
JUDETUL ALBA,IGHIU,METES AUREL,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,4936
JUDETUL ALBA,INTREGALDE,NISTOR IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,4990
JUDETUL ALBA,JIDVEI,TRIF TEODOR,PARTIDUL UNITATII NATIONALE ROMANE,2000,5112
JUDETUL ALBA,LIVEZILE,IRIMIE IUONAS,PARTIDUL NATIONAL LIBERAL,2000,5167
JUDETUL ALBA,LOPADEA NOUA,INDREIU MARIAN,ALIANTA PENTRU ROMANIA,2000,5229
JUDETUL ALBA,LUNCA MURESULUI,RUSU IOAN,ALIANTA PENTRU ROMANIA,2000,5318
JUDETUL ALBA,LUPSA,MACAIET ALEXANDRU,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,5345
JUDETUL ALBA,METES,VARVARA NICOLAE,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,5586
JUDETUL ALBA,MIHALT,CARNAT TOMA IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,5719
JUDETUL ALBA,MIRASLAU,MARGINEAN AUREL,ALIANTA PENTRU ROMANIA,2000,5764
JUDETUL ALBA,MOGOS,PRATIA IOAN,PARTIDUL DEMOCRAT,2000,5835
JUDETUL ALBA,NOSLAC,VINTELER SILVIU,UNIUNEA FORTELOR DE DREAPTA,2000,6057
JUDETUL ALBA,OCOLIS,BERINDEIU IACOB,PARTIDUL NATIONAL LIBERAL,2000,6128
JUDETUL ALBA,OHABA,MIHALTAN NICOLAE,PARTIDUL DEMOCRAT,2000,6173
JUDETUL ALBA,PIANU,PETRUSE MARIN IOAN,PARTIDUL NATIONAL LIBERAL,2000,6217
JUDETUL ALBA,POIANA VADULUI,HANES IOSIF,PARTIDUL NATIONAL LIBERAL,2000,6280
JUDETUL ALBA,PONOR,CORDEA V VICTOR,ALIANTA NATIONALA CRESTIN DEMOCRATA,2000,6404
JUDETUL ALBA,POSAGA,DOBOS-BOTAS CONSTANTIN,CONVENTIA DEMOCRATA ROMANA,2000,6468
JUDETUL ALBA,RADESTI,LAZAR AUREL,PARTIDUL NATIONAL LIBERAL,2000,6556
JUDETUL ALBA,RAMET,CORDEA IOAN,PARTIDUL DEMOCRAT,2000,6636
JUDETUL ALBA,RAMETEA,SZOCS FRANCISC,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,2000
JUDETUL ALBA,ROSIA DE SECAS,DAMIAN ILIE,PARTIDUL NATIONAL LIBERAL,2000,6949
JUDETUL ALBA,ROSIA MONTANA,NARITA VIRGIL NICOLAE,ALIANTA PENTRU ROMANIA,2000,6770
JUDETUL ALBA,SALCIUA,BENDEA OLIVIU,PARTIDUL DEMOCRAT,2000,6976
JUDETUL ALBA,SALISTEA,STUPAR IOAN,PARTIDUL DEMOCRATIEI SOCIALE DIN ROMANIA,2000,7053
JUDETUL ALBA,SASCIORI,DRAGHICIU VASILE,PARTIDUL NATIONAL LIBERAL,2000,7106
JUDETUL ALBA,SCARISOARA,COSTEA CRISTIAN VASILE,PARTIDUL UNITATII NATIONALE ROMANE,2000,7204
JUDETUL ALBA,SIBOT,BONTA MARIUS MIRCEA,FEDERATIA ECOLOGISTA DIN ROMANIA,2000,7829
