VALEA LUNGA,1956,5323
VALEA LUNGA,1966,5333
VALEA LUNGA,1977,4878
VALEA LUNGA,1992,3506
VIDRA,1930,4683
VIDRA,1956,4641
VIDRA,1966,4199
VIDRA,1977,3653
VIDRA,1992,2444
VINTU DE JOS,1930,5312
VINTU DE JOS,1956,5477
VINTU DE JOS,1966,5343
VINTU DE JOS,1977,5773
VINTU DE JOS,1992,5232
VINTU DE JOS,,
VINTU DE JOS,,
JUDETUL ARAD,1930,488359
JUDETUL ARAD,1956,475620
JUDETUL ARAD,1966,481248
JUDETUL ARAD,1977,512020
JUDETUL ARAD,1992,487617
ARAD,1930,87662
ARAD,1956,106460
ARAD,1966,126000
ARAD,1977,171193
ARAD,1992,190114
CHISINEU-CRIS,1930,7551
CHISINEU-CRIS,1956,7770
CHISINEU-CRIS,1966,8891
CHISINEU-CRIS,1977,8913
CHISINEU-CRIS,1992,9021
CURTICI,1930,10651
CURTICI,1956,10678
CURTICI,1966,10908
CURTICI,1977,11104
CURTICI,1992,9987
INEU,1930,7567
INEU,1956,8242
INEU,1966,9973
INEU,1977,10259
INEU,1992,10915
LIPOVA,1930,9877
LIPOVA,1956,10064
LIPOVA,1966,11705
LIPOVA,1977,11863
LIPOVA,1992,12059
NADLAC,1930,12467
NADLAC,1956,8880
NADLAC,1966,8304
NADLAC,1977,8405
NADLAC,1992,8458
PANCOTA,1930,7225
PANCOTA,1956,6986
PANCOTA,1966,6993
PANCOTA,1977,7206
PANCOTA,1992,7446
SEBIS,1930,4253
SEBIS,1956,4735
SEBIS,1966,5537
SEBIS,1977,6070
SEBIS,1992,6993
ALMAS,1930,3834
ALMAS,1956,3752
ALMAS,1966,3521
ALMAS,1977,3406
ALMAS,1992,3119
APATEU,1930,5338
APATEU,1956,5419
APATEU,1966,4834
APATEU,1977,4564
APATEU,1992,3960
ARCHIS,1930,2364
ARCHIS,1956,2371
ARCHIS,1966,2276
ARCHIS,1977,2109
ARCHIS,1992,1905
BATA,1930,3595
BATA,1956,2983
BATA,1966,2613
BATA,1977,1841
BATA,1992,1251
BELIU,1930,4797
BELIU,1956,4816
BELIU,1966,4406
BELIU,1977,4147
BELIU,1992,3542
BIRCHIS,1930,3714
BIRCHIS,1956,3320
BIRCHIS,1966,2985
BIRCHIS,1977,2705
BIRCHIS,1992,2106
BARSA,1930,3086
BARSA,1956,2918
BARSA,1966,2604
BARSA,1977,2425
BARSA,1992,2101
BARZAVA,1930,6069
BARZAVA,1956,4899
BARZAVA,1966,4590
BARZAVA,1977,3982
BARZAVA,1992,3279
BOCSIG,1930,5014
BOCSIG,1956,5032
BOCSIG,1966,4906
BOCSIG,1977,4517
BOCSIG,1992,3886
BRAZII,1930,2423
BRAZII,1956,2139
BRAZII,1966,2022
BRAZII,1977,1763
BRAZII,1992,1508
BUTENI,1930,5399
BUTENI,1956,4695
BUTENI,1966,4286
BUTENI,1977,4143
BUTENI,1992,3702
CARAND,1930,1503
CARAND,1956,1809
CARAND,1966,1699
CARAND,1977,1577
CARAND,1992,1395
CERMEI,1930,5824
CERMEI,1956,4926
CERMEI,1966,4347
CERMEI,1977,3813
CERMEI,1992,3029
CHISINDIA,1930,3622
CHISINDIA,1956,3114
CHISINDIA,1966,2877
CHISINDIA,1977,2349
CHISINDIA,1992,1880
CONOP,1930,4847
CONOP,1956,3913
CONOP,1966,3357
CONOP,1977,3070
CONOP,1992,2478
COVASINT,1930,3128
COVASINT,1956,2763
COVASINT,1966,2882
COVASINT,1977,2876
COVASINT,1992,2595
CRAIVA,1930,5668
CRAIVA,1956,5830
CRAIVA,1966,5217
CRAIVA,1977,4761
CRAIVA,1992,3492
DEZNA,1930,2790
DEZNA,1956,2544
DEZNA,1966,2334
DEZNA,1977,1995
DEZNA,1992,1736
DIECI,1930,3554
DIECI,1956,3364
DIECI,1966,3011
DIECI,1977,2475
DIECI,1992,1883
DORGOS,1930,3755
DORGOS,1956,2983
DORGOS,1966,2477
DORGOS,1977,1979
DORGOS,1992,1411
FELNAC,1930,4908
FELNAC,1956,5242
FELNAC,1966,5079
FELNAC,1977,5553
FELNAC,1992,4988
FANTANELE,1930,5462
FANTANELE,1956,5169
FANTANELE,1966,5597
FANTANELE,1977,6492
FANTANELE,1992,5545
GHIOROC,1930,4866
GHIOROC,1956,4492
GHIOROC,1966,4648
GHIOROC,1977,4875
GHIOROC,1992,4210
GRANICERI,1930,5902
GRANICERI,1956,4819
GRANICERI,1966,3972
GRANICERI,1977,3296
GRANICERI,1992,2462
GURAHONT,1930,6100
GURAHONT,1956,5742
GURAHONT,1966,5656
GURAHONT,1977,5384
GURAHONT,1992,4895
HALMAGIU,1930,6233
HALMAGIU,1956,5248
HALMAGIU,1966,5075
HALMAGIU,1977,4610
HALMAGIU,1992,4081
HALMAGEL,1930,3963
HALMAGEL,1956,3485
HALMAGEL,1966,3146
HALMAGEL,1977,2573
HALMAGEL,1992,1979
HASMAS,1930,2253
HASMAS,1956,2474
HASMAS,1966,2165
HASMAS,1977,1979
HASMAS,1992,1588
IGNESTI,1930,1526
IGNESTI,1956,1321
IGNESTI,1966,1178
IGNESTI,1977,
IGNESTI,1992,
IRATOSU,1930,3611
IRATOSU,1956,2987
IRATOSU,1966,2839
IRATOSU,1977,2805
IRATOSU,1992,2637
LIVADA,1930,2372
LIVADA,1956,2042
LIVADA,1966,2237
LIVADA,1977,3084
LIVADA,1992,2756
MACEA,1930,7523
MACEA,1956,7341
MACEA,1966,7461
MACEA,1977,7398
MACEA,1992,5715
MISCA,1930,7175
MISCA,1956,6455
MISCA,1966,5373
MISCA,1977,4523
MISCA,1992,3510
MONEASA,1930,1221
MONEASA,1956,1151
MONEASA,1966,1327
MONEASA,1977,1183
MONEASA,1992,1291
OLARI,1930,2952
OLARI,1956,2789
OLARI,1966,2607
OLARI,1977,2430
OLARI,1992,2011
PAULIS,1930,5059
PAULIS,1956,4480
PAULIS,1966,4639
PAULIS,1977,4842
PAULIS,1992,4220
PECICA,1930,18679
PECICA,1956,15406
PECICA,1966,14841
PECICA,1977,13871
PECICA,1992,12930
PEREGU MARE,1930,3131
PEREGU MARE,1956,2817
PEREGU MARE,1966,2701
PEREGU MARE,1977,2540
PEREGU MARE,1992,2058
PETRIS,1930,4295
PETRIS,1956,3446
PETRIS,1966,2955
PETRIS,1977,2335
PETRIS,1992,2020
PILU,1930,4572
PILU,1956,3774
PILU,1966,2879
PILU,1977,2417
PILU,1992,1861
PLESCUTA,1930,3348
PLESCUTA,1956,2834
PLESCUTA,1966,2733
PLESCUTA,1977,2374
PLESCUTA,1992,1796
SAVARSIN,1930,6101
SAVARSIN,1956,5031
SAVARSIN,1966,4783
SAVARSIN,1977,4228
SAVARSIN,1992,3600
SECUSIGIU,1930,7342
SECUSIGIU,1956,6695
SECUSIGIU,1966,6475
SECUSIGIU,1977,6218
SECUSIGIU,1992,5631
SELEUS,1930,4840
SELEUS,1956,4647
SELEUS,1966,4155
SELEUS,1977,3788
SELEUS,1992,3328
SEMLAC,1930,5308
SEMLAC,1956,4638
SEMLAC,1966,4237
SEMLAC,1977,4426
SEMLAC,1992,3787
SINTEA MARE,1930,6462
SINTEA MARE,1956,6053
SINTEA MARE,1966,5098
SINTEA MARE,1977,4342
SINTEA MARE,1992,3594
SANTANA,1930,12567
SANTANA,1956,13443
SANTANA,1966,14319
SANTANA,1977,14944
SANTANA,1992,12125
SOCODOR,1930,4723
SOCODOR,1956,3895
SOCODOR,1966,3234
SOCODOR,1977,2924
SOCODOR,1992,2322
SOFRONEA,1930,1922
SOFRONEA,1956,2244
